product_name,true_category,barcode
Haworth computer desk Model A-419,Furniture,BC435971123
phone support package,Services,BC448854016
gabinete,Furniture,BC629855936
secondary display,Technology,BC559084418
i-Mac,Technology,BC925310631
mesh armoire,Furniture,BC420848110
swivel chair,Furniture,BC156999852
gabinete,Furniture,BC655778818
диван,Furniture,BC788691372
large workspace Model C-889,Furniture,BC144910623
Global armoire,Furniture,BC857134424
Steelcase premium Steelcase desk Model A-791,Furniture,BC540396677
OneDrive storage,Services,BC695411648
internet service business,Services,BC171508836
wardrobe,Furniture,BC185260383
counch,Furniture,BC389758574
deks,Furniture,BC412651461
ITSM service,Services,BC687703577
SLA agreement,Services,BC725996789
chrome book used,Technology,BC587135978
SLA agreement,Services,BC290136266
BI tool standard subscription,Services,BC329703585
drukarka Gen 2 - Refurbished,Technology,BC411152157
стул,Furniture,BC134606221
Dropbox Business per device,Services,BC944356532
work table,Furniture,BC807478862
support technique agreement,Services,BC655091932
16GB RAM Computer v2,Technology,BC888412068
desk,Furniture,BC154245232
Haworth small デスク,Furniture,BC323818407
Executive Seat EX-400,Furniture,BC771939435
Global glass cabnit,Furniture,BC933135507
IT support basic license,Services,BC690929397
LCD monitor,Technology,BC677678962
Apple iMac 2024,Technology,BC365635280
height adjustable desk,Furniture,BC448594692
Adoby Creative enterprise,Services,BC300164147
Dropbox Business,Services,BC196829676
Windows 10 Pro,Services,BC785075265
Used DSL premium,Services,BC230955221
Steelcase divano,Furniture,BC856035092
HON swivel chair,Furniture,BC522409833
bench Model Pro-337,Furniture,BC762427117
인터넷 서비스 standard,Services,BC215847550
filing cabinet,Furniture,BC123301671
cabinet,Furniture,BC371775842
キャビネット,Furniture,BC757611451
database support unlimited,Services,BC279110141
SIP trunk,Services,BC758245879
monitor v3,Technology,BC440908961
plastic sofa Model X-348,Furniture,BC146688450
plastic office desk Model B-385,Furniture,BC315495749
canapé Model B-565,Furniture,BC997969776
managed services enterprise,Services,BC920536715
Anti-virus basic,Services,BC704672023
Adobe Creative Suite monthly bundle,Services,BC582522615
4K MONITOR BACKLIT,Technology,BC886411102
cadeira,Furniture,BC553615317
krzesło,Furniture,BC229429404
Haworth swivel chair,Furniture,BC213294985
ASUS PB278Q certified,Technology,BC196725836
HON イス,Furniture,BC803040905
table,Furniture,BC317790892
стул,Furniture,BC501535849
LG UltraWide Gen 2,Technology,BC159124453
Lenovo ThinkPad,Technology,BC752817769
طابعة dual-band,Technology,BC846326954
workstaton,Furniture,BC432342748
managed services,Services,BC777153720
Ofice 365,Services,BC811871111
MS Office,Services,BC796403636
ergonomic chair,Furniture,BC554773258
database support business,Services,BC834773724
RDP software,Services,BC978505410
Kyocera ECOSYS dual-band,Technology,BC864524716
HP ProBook,Technology,BC176648733
Office 365,Services,BC765931799
compter,Technology,BC342217581
принтер portable Plus,Technology,BC459910894
SIP trunk enterprise,Services,BC927636977
IT support,Services,BC638828465
Lounge Seating LS-200,Furniture,BC218494225
4k monitor v3,Technology,BC761421566
steel szafa,Furniture,BC164480705
deluxe skrivbord,Furniture,BC508774805
Chromebook,Technology,BC683579921
stol,Furniture,BC780830076
computadora backlit,Technology,BC863934819
Used Anti virus per user,Services,BC878647434
executive desk,Furniture,BC431784498
DSL premium,Services,BC230955221
iCloud storage,Services,BC803740977
premium cabnit,Furniture,BC490922764
ITSM service service,Services,BC706496928
biurko,Furniture,BC921584159
bureau Model A-798,Furniture,BC256571398
notebook,Technology,BC166582406
schreibtisch Model B-336,Furniture,BC967949720
Back-up software,Services,BC220828027
height adjustable desk,Furniture,BC524784283
shelf,Furniture,BC274079423
SD-WAN service per device,Services,BC848438614
Adobe CC All Apps,Services,BC486556226
SSH client,Services,BC603330974
Lounge Seating LS-200 Model X-640,Furniture,BC427012523
Kimball loveseat,Furniture,BC879872949
ITIL support,Services,BC263162642
cabnet,Furniture,BC955220572
notebook,Technology,BC992654825
MFP,Technology,BC891474266
white armchair,Furniture,BC301792175
premium sectional Model Pro-594,Furniture,BC517304549
1TB SSD Laptop touchscreen 2020,Technology,BC921837488
iCloud storage service,Services,BC905687707
label printer,Technology,BC561778017
HP OfficeJet,Technology,BC385891368
Global bookcase,Furniture,BC800587168
leather Aeron chair,Furniture,BC744354734
chrome book,Technology,BC481584364
cloud backup,Services,BC367321301
support contract package,Services,BC307511166
on-site support,Services,BC723876967
server maintenance,Services,BC769136744
stuhl,Furniture,BC422481128
Salesforce Enterprise business,Services,BC739018322
wooden sofá,Furniture,BC263369074
soffa,Furniture,BC295858216
sit-stand desk,Furniture,BC757518717
wooden workstaton,Furniture,BC897218787
ASUS Monitor,Technology,BC621089199
deluxe sofa,Furniture,BC333848350
plastic Aeron chair,Furniture,BC968451673
Steelcase storage,Furniture,BC292056726
escritorio,Furniture,BC587563596
mesh filing cabinet,Furniture,BC706570606
Steelcase Leap,Furniture,BC128130121
NOC service,Services,BC562340417
software support,Services,BC853030195
sectional,Furniture,BC697347361
managed services,Services,BC458167668
computer desk,Furniture,BC372826122
multifunction printer,Technology,BC993830749
стул,Furniture,BC885526510
Global work desk,Furniture,BC566177523
Samsung Monitor,Technology,BC261795387
Google Workspace,Services,BC547236783
managed services,Services,BC486782357
キャビネット,Furniture,BC785605643
data plan - Refurbished,Services,BC733846414
professional couch,Furniture,BC528628393
Kimball ソファ Model Pro-426,Furniture,BC756598356
bookcase - Refurbished,Furniture,BC804623475
モニター,Technology,BC629977010
plastic диван,Furniture,BC338965760
Knoll イス,Furniture,BC357227536
VPN service,Services,BC740178067
Dell P2419H,Technology,BC392201792
internet service,Services,BC639449617
computer v3,Technology,BC987077148
white height adjustable desk,Furniture,BC472929578
mesh shelf,Furniture,BC783809682
HP EliteDesk quiet,Technology,BC395627385
digital device,Technology,BC858305156
fabric مكتب,Furniture,BC243974416
Steelcase desk,Furniture,BC209815321
SD-WAN service,Services,BC758347916
printer,Technology,BC805315791
stoarge cabinet,Furniture,BC872493367
compact szafa,Furniture,BC750009892
antivirus software,Services,BC322003929
sofa,Furniture,BC870780411
Kimball shelf,Furniture,BC521815818
LG 27UK850 portable,Technology,BC303870775
プリンター,Technology,BC248795415
sofá,Furniture,BC718779908
의자,Furniture,BC739124632
RDP software,Services,BC996782035
desk,Furniture,BC317790892
divan,Furniture,BC654186806
SAP business,Services,BC147005473
Used Office 365 E3,Services,BC840831347
AutoCAD site license,Services,BC858733870
Chair Model C-300,Furniture,BC367063493
sofa,Furniture,BC544080348
SD-WAN service,Services,BC834491630
note book Pro,Technology,BC117504619
server maintenance premium,Services,BC805375110
DSL,Services,BC800916306
desk,Furniture,BC762562441
gray Reception Sofa RS-100,Furniture,BC298370042
Lenovo ThinkCentre,Technology,BC313867761
executive work table,Furniture,BC926438998
Knoll compact armario Model Pro-657,Furniture,BC690814307
VPN service subscription,Services,BC368323917
Used workstation Model Pro-997,Furniture,BC836527450
TEKNION WHITE ARMARIO,Furniture,BC145296783
pantalla,Technology,BC469930807
Kyocera ECOSYS,Technology,BC649397669
dsplay 2022,Technology,BC256860613
27-inch All-in-One professional,Technology,BC682756272
HP EliteDesk 2020,Technology,BC410950586
IKEA イス,Furniture,BC808165309
dedicated line business,Services,BC762441268
drukarka Gen 2,Technology,BC411152157
sofa,Furniture,BC248614668
compact work desk,Furniture,BC202396373
database support - Refurbished,Services,BC282879331
مكتب,Furniture,BC269840673
Steelcase 소파,Furniture,BC977516280
Anti-virus basic subscription,Services,BC712062546
IKEA イス,Furniture,BC522052175
office chair,Furniture,BC125991885
bureau,Furniture,BC545801065
ソフトウェア monthly,Services,BC386541544
security support per device license,Services,BC933241446
خزانة Model C-949,Furniture,BC771435478
lap top v2,Technology,BC162599172
couch Model A-882,Furniture,BC427618008
drukarka,Technology,BC502720908
plastic divano Model X-967,Furniture,BC133579936
security support,Services,BC764264860
HON mesh cabnit,Furniture,BC714109940
large task chair,Furniture,BC845095823
Herman Miller Sayl,Furniture,BC808777380
cell phone plan business,Services,BC171013341
white filing cabnet,Furniture,BC427258676
executive standing table,Furniture,BC369183038
security support,Services,BC641949014
managed services,Services,BC752759821
Global filing cabnet,Furniture,BC356395115
Teknion leather イス,Furniture,BC427296749
Azure subscription enterprise,Services,BC278763625
كرسي,Furniture,BC737670731
schrank - Refurbished,Furniture,BC140519046
deask,Furniture,BC353622930
leather stuhl,Furniture,BC772648626
mesa de trabajo,Furniture,BC571070826
B&W printer quiet,Technology,BC355419939
برمجيات plan,Services,BC262895422
Adobe CC limited,Services,BC523400459
stoarge cabinet,Furniture,BC343436246
Workstation WS-Pro,Furniture,BC677532596
Herman Miller desk,Furniture,BC672263097
iCloud storage professional,Services,BC662715631
IKEA filing cabnet Model Pro-794,Furniture,BC835126913
Logiciel bureautique enterprise agreement,Services,BC884679098
bildschirm enterprise,Technology,BC621162378
compter v2,Technology,BC579166131
IKEA desk Model C-340,Furniture,BC685861719
cloud backup site license,Services,BC342958848
sofá,Furniture,BC904441314
PC desktop used Max,Technology,BC214644955
Windows 10 Pro,Services,BC313377873
CRM software volume license,Services,BC930729364
Herman Miller brown Steelcase Leap,Furniture,BC604816257
Anti virus per user,Services,BC878647434
chiar,Furniture,BC927749187
Teknion white armario,Furniture,BC145296783
DSL - Refurbished,Services,BC800916306
support technique,Services,BC698826833
